property_id,address,city,province,property_type,bedrooms,bathrooms,parking_spaces,size_sqm,erf_size_sqm,listing_price,listing_date,sale_date,sale_price,agent_id,status
489,"975 Main Lane, Menlyn",Pretoria,Gauteng,Commercial,0,2,25,1560,4156,9339061,2024-09-09,,,25,Listed
490,"279 Main Street, Summerstrand",Port Elizabeth,Eastern Cape,Apartment,1,1,1,122,0,1250040,2024-06-07,2024-11-29,1182857,22,Sold
491,"755 Main Road, Framesby",Port Elizabeth,Eastern Cape,House,2,2.5,3,234,669,1938433,2024-04-28,,,40,Listed
492,"261 Jan Smuts Drive, Humewood",Port Elizabeth,Eastern Cape,House,4,2,2,231,336,2389114,2025-01-17,,,26,Listed
493,"213 High Drive, Montana",Pretoria,Gauteng,Apartment,2,1,2,162,0,1844776,2025-06-05,2025-09-23,1668698,13,Sold
494,"914 Nelson Mandela Road, Glenwood",Durban,KwaZulu-Natal,Apartment,4,1,2,199,0,1042866,2024-09-14,2024-10-08,946673,43,Sold
495,"987 Market Street, Fourways",Johannesburg,Gauteng,House,5,2.5,1,442,629,4170558,2024-04-10,,,34,Under Offer
496,"305 Oak Lane, Rosebank",Johannesburg,Gauteng,Apartment,3,2,1,65,0,2481997,2024-09-16,2024-12-26,2585784,31,Sold
497,"209 Main Lane, La Lucia",Durban,KwaZulu-Natal,House,3,2.5,2,157,612,3681636,2025-03-02,,,45,Listed
498,"101 Victoria Lane, Framesby",Port Elizabeth,Eastern Cape,House,5,2,4,281,1380,1126344,2025-04-30,,,12,Under Offer
499,"477 Church Avenue, Kabega Park",Port Elizabeth,Eastern Cape,House,4,2.5,1,169,579,2623439,2024-08-22,2024-10-19,2520990,11,Sold
500,"729 Beach Street, Walmer",Port Elizabeth,Eastern Cape,Townhouse,2,1.5,1,192,200,1297728,2025-04-20,,,30,Listed
501,"114 Park Street, Waterkloof",Pretoria,Gauteng,House,4,2,3,394,760,1684142,2025-04-13,2025-06-20,1760749,13,Sold
502,"866 Station Road, Ballito",Durban,KwaZulu-Natal,House,5,2.5,3,176,717,3682781,2024-08-04,,,22,Listed
503,"914 Market Lane, Ballito",Durban,KwaZulu-Natal,House,5,2.5,4,179,666,2269637,2025-08-26,,,16,Listed
504,"411 Beach Road, La Lucia",Durban,KwaZulu-Natal,Apartment,1,2,1,155,0,2266754,2024-08-07,,,14,Listed
505,"609 Victoria Avenue, Ballito",Durban,KwaZulu-Natal,House,3,3,4,361,579,2571938,2025-06-16,,,2,Listed
506,"857 High Street, Silverton",Pretoria,Gauteng,House,4,2,4,142,510,2481647,2024-07-23,,,14,Withdrawn
507,"133 Station Lane, Rosebank",Johannesburg,Gauteng,Commercial,0,3,17,332,1956,10872315,2024-05-11,2024-07-16,10249002,19,Sold
508,"631 Park Road, Green Point",Cape Town,Western Cape,Apartment,1,2,1,145,0,2144797,2024-10-06,2025-02-02,2068160,14,Sold
509,"487 Beach Road, Phoenix",Durban,KwaZulu-Natal,House,5,1,4,325,906,2224495,2024-02-10,2024-05-24,2150044,29,Sold
510,"441 Victoria Lane, Bishopscourt",Cape Town,Western Cape,Townhouse,3,2.5,1,108,245,1607375,2025-06-09,,,13,Withdrawn
511,"619 Oak Drive, Waterfront",Cape Town,Western Cape,House,4,3,3,394,1480,3136693,2025-03-07,2025-04-03,2925535,39,Sold
512,"638 Station Drive, Lovemore Heights",Port Elizabeth,Eastern Cape,Farm,5,2,7,448,318751,5224516,2024-01-24,2024-03-30,5095848,49,Sold
513,"906 Victoria Lane, Silverton",Pretoria,Gauteng,Apartment,2,2,2,129,0,1973998,2024-09-18,,,4,Listed
514,"930 High Avenue, Hatfield",Pretoria,Gauteng,Townhouse,2,2.5,2,109,245,1946110,2024-07-25,,,15,Withdrawn
515,"240 Beach Avenue, Humewood",Port Elizabeth,Eastern Cape,House,5,3,3,160,721,1056531,2025-07-09,2025-08-25,1018504,6,Sold
516,"249 Long Street, Randburg",Johannesburg,Gauteng,Commercial,0,3,44,1347,729,5907783,2025-04-20,,,39,Under Offer
517,"285 Park Drive, Sea Point",Cape Town,Western Cape,Townhouse,4,2,1,249,215,3110553,2025-01-20,,,25,Listed
518,"30 Station Lane, Observatory",Cape Town,Western Cape,Townhouse,3,1.5,2,146,193,4094619,2025-05-15,2025-06-09,3905171,31,Sold
519,"160 Beach Drive, Observatory",Cape Town,Western Cape,Townhouse,4,2,1,181,248,3206361,2024-12-01,,,27,Under Offer
520,"750 Beach Avenue, Camps Bay",Cape Town,Western Cape,Apartment,1,1,2,195,0,1448015,2025-02-15,,,17,Withdrawn
521,"75 Market Drive, Silverton",Pretoria,Gauteng,Townhouse,2,2.5,2,245,175,1203319,2023-12-26,,,42,Listed
522,"616 Beach Street, Umlazi",Durban,KwaZulu-Natal,Townhouse,3,2,2,234,380,2505767,2024-08-02,,,34,Listed
523,"215 Victoria Street, Montana",Pretoria,Gauteng,Commercial,0,5,28,1500,4241,9897144,2024-09-29,,,1,Listed
524,"27 Beach Road, Bryanston",Johannesburg,Gauteng,Townhouse,4,2.5,1,201,318,1895675,2024-03-11,2024-04-04,1708636,36,Sold
525,"186 Victoria Avenue, Houghton",Johannesburg,Gauteng,House,5,2.5,4,255,649,3377259,2024-06-25,,,26,Listed
526,"218 Market Drive, Phoenix",Durban,KwaZulu-Natal,Apartment,1,1.5,1,102,0,1961791,2025-01-01,,,15,Withdrawn
527,"92 Jan Smuts Road, Morningside",Durban,KwaZulu-Natal,Townhouse,3,3,1,157,388,2542641,2025-03-20,,,4,Listed
528,"472 Jan Smuts Drive, Walmer",Port Elizabeth,Eastern Cape,Commercial,0,4,27,1003,2794,9909203,2024-01-02,,,18,Under Offer
529,"683 Victoria Street, Greenbushes",Port Elizabeth,Eastern Cape,Apartment,1,1.5,1,125,0,1340256,2024-08-22,,,12,Withdrawn
530,"933 High Drive, Greenbushes",Port Elizabeth,Eastern Cape,Apartment,3,2,2,78,0,1577181,2024-12-30,,,17,Listed
531,"875 Park Road, Constantia",Cape Town,Western Cape,House,3,2,1,378,639,5210460,2024-03-22,,,8,Listed
532,"878 Beach Drive, Umlazi",Durban,KwaZulu-Natal,Apartment,4,1,2,197,0,1460075,2024-03-04,,,30,Listed
533,"116 Beach Drive, Lynnwood",Pretoria,Gauteng,Apartment,4,1.5,1,85,0,1883396,2025-06-19,,,6,Listed
534,"658 Victoria Drive, Clifton",Cape Town,Western Cape,Farm,4,2,5,367,96105,6426031,2025-05-18,2025-07-09,6552867,49,Sold
535,"166 Long Road, Westville",Durban,KwaZulu-Natal,Townhouse,3,2,2,206,390,1946889,2024-08-01,,,44,Under Offer
536,"616 Station Drive, Arcadia",Pretoria,Gauteng,House,4,2,2,444,800,3806031,2025-09-29,,,41,Listed
537,"975 High Avenue, Westville",Durban,KwaZulu-Natal,Apartment,4,1.5,1,100,0,1909124,2024-02-15,,,50,Listed
538,"713 Station Avenue, Morningside",Durban,KwaZulu-Natal,Apartment,2,1.5,1,137,0,1334093,2023-11-19,2024-01-29,1315241,33,Sold
539,"499 Oak Street, Greenbushes",Port Elizabeth,Eastern Cape,Apartment,2,1,2,62,0,1259333,2025-04-27,,,35,Listed
540,"739 High Drive, Fourways",Johannesburg,Gauteng,House,5,2,2,154,564,3444420,2025-04-07,,,47,Listed
541,"547 Victoria Lane, Framesby",Port Elizabeth,Eastern Cape,House,5,2,3,170,1476,1136274,2024-05-27,2024-09-26,1028445,28,Sold
542,"164 Victoria Avenue, Walmer",Port Elizabeth,Eastern Cape,Townhouse,4,2,2,164,219,1152364,2025-08-25,2025-09-27,1168054,30,Sold
543,"58 Nelson Mandela Lane, Melrose",Johannesburg,Gauteng,Commercial,0,4,10,708,1113,11914655,2024-05-15,2024-06-28,10865970,50,Sold
544,"964 Victoria Drive, Lynnwood",Pretoria,Gauteng,Townhouse,3,2.5,2,135,190,1940817,2025-09-21,,,45,Listed
545,"353 High Lane, Parktown",Johannesburg,Gauteng,House,3,2,4,194,753,3666934,2025-02-07,2025-05-01,3335093,23,Sold
546,"138 Victoria Street, Westville",Durban,KwaZulu-Natal,Apartment,1,2,1,63,0,2259672,2025-04-28,2025-06-18,2090531,20,Sold
547,"806 Jan Smuts Road, Lovemore Heights",Port Elizabeth,Eastern Cape,Apartment,2,1.5,1,61,0,1141355,2025-07-05,2025-08-18,1117115,36,Sold
548,"30 Park Lane, Houghton",Johannesburg,Gauteng,House,3,2,4,266,1051,2416665,2025-09-25,,,42,Withdrawn
549,"558 Victoria Avenue, Durban North",Durban,KwaZulu-Natal,House,5,2.5,1,187,1020,3138713,2025-09-24,,,2,Under Offer
550,"722 Station Street, Camps Bay",Cape Town,Western Cape,House,3,2.5,2,265,1183,2968822,2025-08-28,2025-11-25,2686049,39,Sold
551,"560 Church Drive, Alexandra",Johannesburg,Gauteng,Commercial,0,2,50,1096,1192,10297252,2024-02-19,,,11,Listed
552,"40 Station Road, Bellville",Cape Town,Western Cape,Apartment,2,1.5,1,146,0,2705109,2025-03-06,,,14,Listed
553,"905 Main Drive, Montana",Pretoria,Gauteng,House,5,2,3,399,991,2877045,2024-10-15,,,24,Listed
554,"898 High Road, Centurion",Pretoria,Gauteng,House,2,4,1,254,1209,2747676,2024-05-17,2024-08-02,2561773,38,Sold
555,"696 Station Avenue, Durban North",Durban,KwaZulu-Natal,Townhouse,4,2,2,104,381,1519221,2023-11-18,2024-01-07,1580959,26,Sold
556,"304 Church Avenue, Mitchell's Plain",Cape Town,Western Cape,Townhouse,4,2,1,118,279,1505391,2024-02-18,,,8,Listed
557,"732 Station Lane, Observatory",Cape Town,Western Cape,House,3,2.5,1,192,1251,4245195,2025-08-20,2025-12-25,4399227,12,Sold
558,"999 Long Lane, Ballito",Durban,KwaZulu-Natal,Apartment,2,2,2,179,0,1986064,2025-05-27,2025-10-09,2045480,11,Sold
559,"55 Main Lane, Bellville",Cape Town,Western Cape,House,4,3,4,261,646,3555529,2025-03-09,2025-07-07,3572634,25,Sold
560,"239 Victoria Road, Constantia",Cape Town,Western Cape,House,5,3,4,382,504,2980257,2025-05-04,,,12,Withdrawn
561,"362 Oak Street, Parktown",Johannesburg,Gauteng,Townhouse,3,2,2,178,215,3692620,2024-01-21,,,23,Listed
562,"509 Park Street, Durban North",Durban,KwaZulu-Natal,House,5,3,3,262,1151,1700959,2025-09-02,,,43,Listed
563,"389 Market Drive, Bryanston",Johannesburg,Gauteng,House,4,2,4,354,1389,2940301,2024-04-04,,,10,Under Offer
564,"128 Church Drive, Framesby",Port Elizabeth,Eastern Cape,Apartment,2,2,1,187,0,639417,2025-03-30,,,13,Listed
565,"960 Beach Lane, Framesby",Port Elizabeth,Eastern Cape,House,5,2,3,328,423,1315255,2024-08-29,,,49,Under Offer
566,"297 Jan Smuts Lane, Centurion",Pretoria,Gauteng,Commercial,0,4,22,694,2959,4927756,2025-07-30,2025-12-13,4553011,40,Sold
567,"167 Main Drive, Alexandra",Johannesburg,Gauteng,House,3,2.5,4,199,1100,4718099,2025-08-26,2025-11-24,4527189,39,Sold
568,"339 High Drive, Soweto",Johannesburg,Gauteng,Apartment,1,1.5,1,76,0,3225062,2023-12-24,,,42,Listed
569,"107 Oak Drive, Hatfield",Pretoria,Gauteng,Apartment,3,2,1,89,0,2415827,2024-08-24,,,8,Listed
570,"44 Jan Smuts Street, Fourways",Johannesburg,Gauteng,Farm,4,4,8,311,222554,7762853,2025-06-19,,,22,Withdrawn
571,"654 Church Lane, Rosebank",Johannesburg,Gauteng,Apartment,2,1,2,109,0,1537369,2023-11-17,,,32,Withdrawn
572,"563 Jan Smuts Road, Newton Park",Port Elizabeth,Eastern Cape,Apartment,1,1,2,191,0,1479674,2024-11-01,,,26,Withdrawn
573,"770 Beach Street, Umhlanga",Durban,KwaZulu-Natal,House,5,2.5,4,177,1500,1470302,2024-02-07,,,36,Listed
574,"453 Jan Smuts Avenue, Morningside",Durban,KwaZulu-Natal,Townhouse,3,2,1,240,300,943511,2024-06-08,,,17,Listed
575,"955 Oak Avenue, Bishopscourt",Cape Town,Western Cape,House,4,3,2,340,329,4014955,2025-03-27,2025-05-24,3911538,14,Sold
576,"84 Beach Avenue, Lovemore Heights",Port Elizabeth,Eastern Cape,House,4,1,3,188,832,1157351,2025-02-22,,,20,Listed
577,"133 Church Avenue, Humewood",Port Elizabeth,Eastern Cape,Apartment,2,2.5,1,83,0,1141764,2025-10-19,2025-12-19,1100526,50,Sold
578,"350 Jan Smuts Avenue, Green Point",Cape Town,Western Cape,Townhouse,3,2.5,2,170,176,3153932,2024-08-12,,,35,Listed
579,"493 High Lane, Durban North",Durban,KwaZulu-Natal,Apartment,2,2,1,171,0,1401986,2024-03-03,,,1,Under Offer
580,"978 Main Road, Sunnyside",Pretoria,Gauteng,House,2,2,1,394,617,3578506,2024-07-25,,,34,Listed
581,"527 Church Drive, Humewood",Port Elizabeth,Eastern Cape,House,4,4,3,321,518,1300515,2024-08-06,2024-11-23,1241621,5,Sold
582,"484 Nelson Mandela Avenue, Morningside",Durban,KwaZulu-Natal,House,4,2.5,1,120,629,2900165,2024-03-16,2024-07-09,2615201,32,Sold
583,"931 Victoria Street, Constantia",Cape Town,Western Cape,Apartment,2,1,1,172,0,2771275,2025-05-29,,,8,Under Offer
584,"317 Victoria Avenue, Bryanston",Johannesburg,Gauteng,Apartment,2,2,1,124,0,2660333,2025-07-22,2025-08-07,2414672,47,Sold
585,"999 Station Avenue, Constantia",Cape Town,Western Cape,Apartment,1,1,2,80,0,1350824,2025-04-23,,,3,Listed
586,"429 Beach Street, Berea",Durban,KwaZulu-Natal,Townhouse,3,2,2,132,299,1406119,2025-09-21,,,14,Listed
587,"148 Main Avenue, Greenbushes",Port Elizabeth,Eastern Cape,House,5,2.5,3,407,1194,1643248,2024-05-27,,,46,Under Offer
588,"20 Beach Lane, Hatfield",Pretoria,Gauteng,House,4,2,4,188,633,3827225,2025-04-12,,,25,Listed
589,"726 Church Street, Humewood",Port Elizabeth,Eastern Cape,Apartment,3,1,1,200,0,1736480,2024-10-13,,,19,Listed
590,"501 High Lane, Randburg",Johannesburg,Gauteng,House,5,3,4,432,419,2871282,2025-09-08,,,27,Withdrawn
591,"421 Market Lane, Constantia",Cape Town,Western Cape,House,4,3,4,234,597,2524673,2024-05-03,,,37,Withdrawn
592,"963 Church Avenue, Roodepoort",Johannesburg,Gauteng,Apartment,2,2,2,70,0,1750206,2024-12-05,,,20,Listed
593,"552 Victoria Drive, Framesby",Port Elizabeth,Eastern Cape,House,3,3,1,429,407,1343901,2024-11-18,,,15,Withdrawn
594,"596 Nelson Mandela Drive, Soweto",Johannesburg,Gauteng,Townhouse,4,2,1,135,234,2573076,2025-03-29,,,23,Listed
595,"870 Market Road, Waterkloof",Pretoria,Gauteng,House,5,2,4,438,1443,3506225,2025-05-14,,,9,Listed
596,"892 Market Street, Arcadia",Pretoria,Gauteng,Apartment,4,1,2,59,0,1358796,2025-03-07,,,38,Under Offer
597,"379 Jan Smuts Avenue, Constantia",Cape Town,Western Cape,House,4,2,4,434,741,4325161,2025-03-20,,,43,Listed
598,"416 Long Avenue, Newton Park",Port Elizabeth,Eastern Cape,Commercial,0,2,22,1069,4480,8916015,2024-04-28,2024-07-17,8684746,28,Sold
599,"923 Victoria Drive, Houghton",Johannesburg,Gauteng,Apartment,1,1,1,106,0,1112859,2024-07-19,,,28,Under Offer
600,"630 Main Street, Sea Point",Cape Town,Western Cape,Apartment,2,1.5,1,158,0,3354111,2024-02-22,2024-06-15,3031368,5,Sold
601,"461 Nelson Mandela Road, Waterkloof",Pretoria,Gauteng,Apartment,3,1,2,50,0,1101288,2024-06-09,2024-06-29,1123941,24,Sold
602,"430 Nelson Mandela Road, Claremont",Cape Town,Western Cape,Apartment,1,1,2,156,0,2363133,2024-02-09,,,8,Listed
603,"785 Park Street, Newton Park",Port Elizabeth,Eastern Cape,House,3,2.5,3,120,1336,2392810,2024-11-14,2025-04-22,2318251,40,Sold
604,"50 Victoria Street, Constantia",Cape Town,Western Cape,Apartment,2,2,1,54,0,2609550,2025-08-08,,,39,Listed
605,"736 Victoria Road, Greenbushes",Port Elizabeth,Eastern Cape,Apartment,3,1.5,2,70,0,962678,2024-11-22,,,35,Listed
606,"990 Victoria Avenue, Glenwood",Durban,KwaZulu-Natal,Apartment,3,1,1,164,0,883163,2024-01-10,,,36,Listed
607,"392 Market Avenue, Hatfield",Pretoria,Gauteng,Apartment,4,2,2,140,0,878304,2025-04-24,,,24,Under Offer
608,"882 High Road, Newton Park",Port Elizabeth,Eastern Cape,Commercial,0,2,32,631,3645,5226290,2025-06-23,,,43,Listed
609,"829 Oak Road, Lovemore Heights",Port Elizabeth,Eastern Cape,Apartment,2,2,1,142,0,1719064,2025-02-28,,,32,Listed
610,"287 Beach Road, Westville",Durban,KwaZulu-Natal,House,6,2.5,3,315,325,2368944,2025-09-20,,,37,Withdrawn
611,"374 Long Road, Clifton",Cape Town,Western Cape,Townhouse,3,2.5,2,224,389,1489536,2024-02-29,2024-07-27,1477297,1,Sold
612,"589 Station Road, Sandton",Johannesburg,Gauteng,Townhouse,3,2,2,178,207,2596610,2024-01-30,2024-07-25,2539438,40,Sold
613,"173 Victoria Drive, Claremont",Cape Town,Western Cape,Farm,5,4,6,383,496261,5338945,2024-04-22,,,43,Listed
614,"917 Long Avenue, La Lucia",Durban,KwaZulu-Natal,House,2,3,2,245,1032,3566804,2024-03-02,2024-04-03,3635209,40,Sold
615,"159 Oak Drive, Lovemore Heights",Port Elizabeth,Eastern Cape,Townhouse,3,1.5,1,231,368,783474,2024-03-26,,,50,Listed
616,"361 High Lane, Walmer",Port Elizabeth,Eastern Cape,House,3,2,1,150,1155,1835519,2024-02-21,,,6,Under Offer
617,"956 Park Drive, Clifton",Cape Town,Western Cape,Apartment,2,2,2,165,0,2205979,2025-06-02,2025-11-29,2269405,2,Sold
618,"415 Market Drive, Melrose",Johannesburg,Gauteng,Townhouse,2,2.5,1,242,316,2354609,2024-02-01,,,39,Listed
619,"267 Park Lane, Silverton",Pretoria,Gauteng,Townhouse,3,2,1,208,175,1640198,2025-08-22,2025-12-26,1654464,29,Sold
620,"27 Main Drive, Newton Park",Port Elizabeth,Eastern Cape,Farm,4,3,8,258,338434,3371886,2023-12-09,2024-05-22,3336051,39,Sold
621,"693 Nelson Mandela Avenue, Hatfield",Pretoria,Gauteng,House,4,2.5,2,356,321,2122830,2025-03-09,,,8,Under Offer
622,"611 High Drive, Midrand",Johannesburg,Gauteng,House,4,3,3,280,682,2842700,2025-10-10,,,35,Listed
623,"714 Victoria Avenue, Humewood",Port Elizabeth,Eastern Cape,Apartment,1,2,2,67,0,649649,2024-05-28,,,35,Listed
624,"18 Main Avenue, Lynnwood",Pretoria,Gauteng,House,4,2.5,4,333,495,3796321,2024-05-18,,,16,Listed
625,"191 Church Road, Bryanston",Johannesburg,Gauteng,Apartment,3,2,2,174,0,1144137,2024-07-15,2024-09-18,1056438,14,Sold
626,"695 Oak Road, Waterkloof",Pretoria,Gauteng,Apartment,1,1,1,65,0,2283814,2024-02-14,2024-06-06,2204186,25,Sold
627,"284 Nelson Mandela Drive, Bellville",Cape Town,Western Cape,Farm,4,2,6,284,325608,10139212,2024-09-26,,,13,Listed
628,"878 Church Street, Mitchell's Plain",Cape Town,Western Cape,Farm,5,5,3,339,339450,8059577,2023-12-29,,,26,Listed
629,"529 High Street, Hatfield",Pretoria,Gauteng,Townhouse,4,2.5,1,220,262,1381098,2024-06-18,,,44,Listed
630,"126 High Avenue, Woodstock",Cape Town,Western Cape,Apartment,3,1,2,111,0,2667250,2024-09-17,,,27,Listed
631,"867 Jan Smuts Drive, Newton Park",Port Elizabeth,Eastern Cape,House,3,3,2,130,999,1105608,2024-04-25,2024-07-01,1122188,20,Sold
632,"834 Oak Avenue, Claremont",Cape Town,Western Cape,House,2,2,1,280,677,4319726,2025-04-02,2025-05-01,4297810,29,Sold
633,"363 Market Road, Umlazi",Durban,KwaZulu-Natal,House,4,3,1,424,849,2045302,2024-07-09,,,27,Under Offer
634,"400 Market Avenue, Clifton",Cape Town,Western Cape,Townhouse,3,2,1,146,289,2055455,2023-11-08,2024-01-10,1931674,41,Sold
635,"465 Nelson Mandela Road, Sea Point",Cape Town,Western Cape,House,5,2,3,321,337,4998493,2025-07-05,,,7,Listed
636,"212 Station Drive, Camps Bay",Cape Town,Western Cape,House,5,2,3,410,582,3372951,2024-08-15,,,2,Listed
637,"660 Victoria Avenue, Framesby",Port Elizabeth,Eastern Cape,House,3,2,1,427,557,2266985,2023-11-11,,,14,Withdrawn
638,"23 Nelson Mandela Street, Menlyn",Pretoria,Gauteng,House,4,2,4,193,815,2787129,2023-11-24,2023-12-26,2696469,45,Sold
639,"763 Park Avenue, Hatfield",Pretoria,Gauteng,House,2,2.5,1,271,704,1773587,2025-01-28,,,36,Listed
640,"221 Main Lane, Ballito",Durban,KwaZulu-Natal,Farm,6,2,6,567,313231,6985104,2023-12-25,,,30,Listed
641,"274 Main Avenue, Summerstrand",Port Elizabeth,Eastern Cape,House,5,2.5,1,262,422,1253599,2025-06-29,2025-11-05,1273110,20,Sold
642,"553 Oak Road, Umlazi",Durban,KwaZulu-Natal,Apartment,2,2,1,178,0,906392,2025-04-20,,,42,Withdrawn
643,"719 Station Avenue, Bishopscourt",Cape Town,Western Cape,House,4,3,4,340,1287,3958078,2025-07-13,2025-09-11,3792451,21,Sold
644,"285 Jan Smuts Drive, Houghton",Johannesburg,Gauteng,Commercial,0,6,35,1432,1127,9495647,2023-11-28,,,40,Withdrawn
645,"177 High Avenue, Menlyn",Pretoria,Gauteng,Townhouse,2,2,1,235,163,1175052,2024-07-06,2024-08-01,1086910,45,Sold
646,"765 Oak Drive, Soweto",Johannesburg,Gauteng,House,3,2,3,226,1132,3602349,2024-03-27,2024-07-15,3321487,37,Sold
647,"476 Victoria Lane, Humewood",Port Elizabeth,Eastern Cape,Apartment,3,2,1,184,0,947649,2025-08-07,2025-10-13,965060,50,Sold
648,"563 Oak Drive, Midrand",Johannesburg,Gauteng,Apartment,2,2.5,1,179,0,1755078,2024-01-31,,,28,Listed
649,"983 Nelson Mandela Road, Westville",Durban,KwaZulu-Natal,Apartment,1,2,2,60,0,1867484,2025-10-01,2025-11-08,1727934,19,Sold
650,"123 Long Street, Bishopscourt",Cape Town,Western Cape,Townhouse,3,2.5,1,177,281,3190461,2025-03-21,2025-06-28,2934547,32,Sold
651,"987 Market Road, Centurion",Pretoria,Gauteng,House,2,1,4,216,849,3864574,2024-04-02,2024-09-14,3694819,18,Sold
652,"40 Beach Lane, Montana",Pretoria,Gauteng,Apartment,2,1,2,86,0,2221743,2025-01-22,,,45,Listed
653,"937 High Street, Sea Point",Cape Town,Western Cape,House,5,2.5,3,131,381,3799437,2024-10-03,,,32,Under Offer
654,"374 Market Road, Sunnyside",Pretoria,Gauteng,Apartment,1,1,1,102,0,1920065,2025-03-15,2025-05-17,1962149,11,Sold
655,"425 Main Avenue, Roodepoort",Johannesburg,Gauteng,House,4,2.5,1,146,822,2691833,2024-03-21,,,43,Listed
656,"528 Main Lane, Newton Park",Port Elizabeth,Eastern Cape,House,3,3,3,146,1436,2647038,2025-08-09,,,40,Listed
657,"777 Market Street, Claremont",Cape Town,Western Cape,Apartment,4,1,2,105,0,3245604,2024-01-31,2024-05-29,3142936,32,Sold
658,"692 Main Street, Brooklyn",Pretoria,Gauteng,House,3,1,2,166,1392,2949713,2025-07-05,,,9,Listed
659,"874 Market Street, Framesby",Port Elizabeth,Eastern Cape,Apartment,1,1.5,2,71,0,1479945,2023-11-12,,,26,Listed
660,"906 Nelson Mandela Road, Ballito",Durban,KwaZulu-Natal,House,4,2.5,4,409,1077,1585464,2024-08-22,2024-12-16,1531854,5,Sold
661,"647 Jan Smuts Avenue, Waterkloof",Pretoria,Gauteng,Apartment,3,2,1,184,0,1224716,2024-09-15,2025-01-29,1136657,19,Sold
662,"480 Nelson Mandela Drive, Lynnwood",Pretoria,Gauteng,House,4,2.5,4,180,698,1718076,2025-03-16,2025-04-23,1729916,25,Sold
663,"584 Victoria Road, Waterfront",Cape Town,Western Cape,Apartment,2,1,2,55,0,3256843,2024-12-02,,,17,Under Offer
664,"706 Church Road, Glenwood",Durban,KwaZulu-Natal,House,4,3,4,352,796,2540602,2024-12-26,,,16,Listed
665,"925 Nelson Mandela Avenue, Walmer",Port Elizabeth,Eastern Cape,Commercial,0,3,14,1839,660,7505132,2024-10-08,,,13,Listed
666,"731 Victoria Avenue, Brooklyn",Pretoria,Gauteng,Apartment,2,1,1,154,0,2158950,2024-01-26,,,30,Under Offer
667,"196 Beach Road, Constantia",Cape Town,Western Cape,Townhouse,3,2,2,138,358,2692115,2025-08-09,,,30,Under Offer
668,"257 Beach Street, Melrose",Johannesburg,Gauteng,House,3,1,1,301,1185,3871458,2025-07-14,2025-12-03,3721526,36,Sold
669,"949 Beach Drive, Houghton",Johannesburg,Gauteng,Apartment,1,1,1,60,0,2542742,2024-09-08,,,27,Withdrawn
670,"338 Jan Smuts Street, Humewood",Port Elizabeth,Eastern Cape,House,2,2,3,293,478,3008555,2025-01-17,2025-05-28,3112935,25,Sold
671,"831 High Lane, Greenbushes",Port Elizabeth,Eastern Cape,House,2,2.5,1,227,610,2073465,2025-05-22,,,41,Under Offer
672,"566 Park Drive, Sandton",Johannesburg,Gauteng,House,4,3,3,370,835,5152961,2025-07-22,,,45,Listed
673,"745 Station Road, Camps Bay",Cape Town,Western Cape,Townhouse,3,2,1,124,334,3377849,2025-08-09,,,37,Under Offer
674,"194 Main Avenue, Constantia",Cape Town,Western Cape,Townhouse,2,1.5,1,246,344,2265102,2024-09-21,,,31,Withdrawn
675,"439 High Drive, Centurion",Pretoria,Gauteng,House,3,2,1,371,995,3508799,2025-09-25,,,32,Listed
676,"508 Church Lane, Green Point",Cape Town,Western Cape,House,6,2.5,1,246,1165,3742346,2024-12-27,2025-01-09,3779626,6,Sold
677,"821 Nelson Mandela Drive, Montana",Pretoria,Gauteng,House,4,4,2,185,1385,2995528,2024-07-05,,,2,Listed
678,"774 Jan Smuts Lane, Camps Bay",Cape Town,Western Cape,House,4,2,3,175,476,5354417,2024-09-15,2024-11-03,5524635,10,Sold
679,"667 Victoria Avenue, Newton Park",Port Elizabeth,Eastern Cape,House,4,4,3,444,930,1196871,2024-02-06,,,42,Listed
680,"861 Market Road, Rosebank",Johannesburg,Gauteng,Apartment,2,1,1,176,0,1275596,2025-04-29,2025-05-12,1233100,33,Sold
681,"705 Victoria Road, Walmer",Port Elizabeth,Eastern Cape,House,3,4,4,404,1167,2344918,2025-10-19,2025-12-21,2288114,19,Sold
682,"218 Oak Avenue, Houghton",Johannesburg,Gauteng,House,3,2,1,221,563,2281602,2024-06-22,,,17,Withdrawn
683,"501 Nelson Mandela Road, Arcadia",Pretoria,Gauteng,Apartment,3,2,2,200,0,1609264,2025-10-01,,,3,Listed
684,"568 Main Road, Centurion",Pretoria,Gauteng,Commercial,0,5,25,1390,523,8819294,2024-07-16,,,12,Under Offer
685,"183 Main Road, Newton Park",Port Elizabeth,Eastern Cape,House,2,3,4,336,1315,2714161,2025-06-06,,,5,Under Offer
686,"180 Oak Drive, Umlazi",Durban,KwaZulu-Natal,House,4,4,1,161,1431,3225938,2025-04-18,2025-09-28,3261204,18,Sold
687,"505 Park Drive, Durban North",Durban,KwaZulu-Natal,House,4,2,1,192,1371,1977652,2024-04-20,2024-08-16,1952491,44,Sold
688,"709 Station Avenue, Brooklyn",Pretoria,Gauteng,Townhouse,4,2,1,210,152,1221087,2024-07-10,,,22,Listed
689,"211 Main Lane, Bellville",Cape Town,Western Cape,House,4,2,2,355,913,5744615,2025-09-24,,,43,Listed
